Client_Name,Sector,Location,Guard_Count,Monthly_Deal_Value,Certification_Valid (%),Incident_Reports,SLA_Breaches,Lead_Status,Pitch_Success (%),Compliance_Flag
Indus Enterprises,Corporate,Andheri,43,"? 2,88,067.00",93,0,0,Pitch_Ongoing,81,Compliant
SecureMax Group,Residential,Malad,8,"? 2,72,864.00",62,0,0,Converted,81,Compliant
RetailOne Corp,Industrial,Malad,10,"? 2,38,926.00",71,0,0,Pitch_Ongoing,65,Compliant
Urban Enterprises,Residential,Navi Mumbai,49,"? 2,21,334.00",60,3,0,Converted,67,Compliant
RetailOne Enterprises,Residential,Thane,36,"? 2,18,152.00",64,5,0,Cold_Lead,79,Compliant
SecureMax Systems,Retail,Thane,34,"? 1,82,396.00",89,3,0,Cold_Lead,92,Compliant
Indus Corp,Industrial,Borivali,39,"? 1,41,267.00",89,5,1,Pitch_Ongoing,92,Compliant
ABC Solutions,Industrial,Navi Mumbai,44,"? 2,16,981.00",76,1,2,Converted,91,Compliant
Urban Infra,Industrial,Malad,20,"? 2,70,411.00",82,2,0,Cold_Lead,36,Compliant
BuildRight Corp,Residential,Vashi,17,"? 69,870.00",74,2,0,Pitch_Ongoing,56,Compliant
SecureMax Infra,Corporate,Navi Mumbai,46,"? 2,15,650.00",96,3,0,Converted,43,Compliant
BuildRight Systems,Industrial,Borivali,34,"? 2,53,196.00",80,1,1,Converted,34,Compliant
SecureMax Enterprises,Residential,Borivali,23,"? 2,98,683.00",73,1,0,Pitch_Ongoing,84,Compliant
Indus Infra,Retail,Navi Mumbai,21,"? 2,84,677.00",61,0,0,Converted,31,Compliant
SecureMax Systems,Corporate,Borivali,23,"? 76,790.00",70,1,0,Cold_Lead,91,Compliant
RetailOne Systems,Retail,Navi Mumbai,32,"? 1,68,874.00",98,1,1,Converted,50,Compliant
Indus Group,Corporate,Andheri,30,"? 75,289.00",97,2,0,Converted,50,Compliant
SecureMax Corp,Residential,Navi Mumbai,41,"? 2,36,201.00",93,3,0,Cold_Lead,39,Compliant
BuildRight Infra,Construction,Navi Mumbai,30,"? 2,74,786.00",97,4,1,Converted,87,Compliant
BuildRight Infra,Corporate,Borivali,27,"? 2,75,318.00",93,0,0,Pitch_Ongoing,68,Compliant
ABC Enterprises,Retail,Borivali,13,"? 65,485.00",77,3,1,Converted,34,Compliant
Indus Infra,Residential,Thane,16,"? 94,482.00",89,1,2,Converted,94,Compliant
RetailOne Group,Corporate,Thane,5,"? 1,36,188.00",74,2,3,Pitch_Ongoing,42,Compliant
Indus Group,Construction,Andheri,5,"? 54,748.00",86,2,1,Pitch_Ongoing,82,Compliant
ABC Infra,Construction,Thane,38,"? 2,67,841.00",93,1,0,Pitch_Ongoing,74,Compliant
BuildRight Corp,Industrial,Navi Mumbai,36,"? 1,90,507.00",97,3,0,Pitch_Ongoing,61,Compliant
ABC Solutions,Industrial,Borivali,29,"? 53,709.00",92,3,0,Pitch_Ongoing,65,Compliant
Indus Solutions,Retail,Thane,44,"? 1,73,961.00",83,1,0,Converted,89,Compliant
ABC Corp,Corporate,Thane,49,"? 80,355.00",74,2,0,Converted,40,Compliant
BuildRight Enterprises,Corporate,Andheri,5,"? 2,36,843.00",89,0,0,Cold_Lead,92,Compliant
BuildRight Solutions,Industrial,Malad,20,"? 2,38,871.00",76,1,2,Pitch_Ongoing,50,Compliant
SecureMax Corp,Corporate,Andheri,43,"? 1,94,188.00",64,1,0,Pitch_Ongoing,81,At Risk
Indus Corp,Corporate,Navi Mumbai,9,"? 2,06,542.00",88,2,1,Converted,84,At Risk
Urban Group,Construction,Borivali,26,"? 2,23,416.00",63,2,1,Converted,55,Compliant
Urban Solutions,Industrial,Andheri,33,"? 92,918.00",69,0,0,Pitch_Ongoing,63,Compliant
RetailOne Solutions,Residential,Thane,7,"? 1,02,224.00",76,0,1,Cold_Lead,81,Compliant
BuildRight Infra,Industrial,Borivali,16,"? 89,298.00",69,0,1,Pitch_Ongoing,81,Compliant
Urban Infra,Residential,Borivali,30,"? 2,89,564.00",76,2,0,Cold_Lead,58,Compliant
Urban Enterprises,Construction,Thane,20,"? 1,30,219.00",79,1,2,Pitch_Ongoing,67,Compliant
RetailOne Enterprises,Retail,Andheri,41,"? 1,11,629.00",83,0,1,Converted,71,Compliant
Urban Group,Corporate,Thane,26,"? 1,16,040.00",64,2,1,Converted,50,Compliant
ABC Group,Construction,Malad,33,"? 2,80,590.00",93,1,0,Converted,71,Compliant
ABC Corp,Corporate,Borivali,18,"? 2,80,907.00",65,2,2,Converted,42,Compliant
RetailOne Corp,Retail,Vashi,32,"? 78,016.00",61,2,1,Cold_Lead,93,Compliant
SecureMax Group,Retail,Vashi,9,"? 73,960.00",72,3,0,Converted,46,Compliant
BuildRight Corp,Construction,Navi Mumbai,34,"? 83,591.00",70,3,1,Pitch_Ongoing,38,Compliant
ABC Enterprises,Retail,Thane,9,"? 2,63,920.00",82,2,0,Converted,70,Compliant
BuildRight Systems,Residential,Thane,16,"? 1,53,333.00",75,0,1,Converted,30,Compliant
BuildRight Enterprises,Retail,Navi Mumbai,20,"? 2,92,804.00",90,0,0,Converted,31,Compliant
Urban Infra,Corporate,Navi Mumbai,30,"? 1,64,821.00",70,2,0,Converted,89,Compliant
BuildRight Enterprises,Corporate,Navi Mumbai,30,"? 2,48,713.00",75,0,0,Pitch_Ongoing,77,Compliant
RetailOne Solutions,Corporate,Borivali,25,"? 86,395.00",67,0,1,Converted,58,Compliant
Urban Infra,Corporate,Malad,43,"? 2,92,348.00",63,3,1,Pitch_Ongoing,39,At Risk
ABC Infra,Residential,Thane,40,"? 1,79,695.00",99,2,1,Converted,87,Compliant
RetailOne Infra,Industrial,Borivali,37,"? 2,03,772.00",63,1,0,Converted,89,Compliant
SecureMax Group,Construction,Navi Mumbai,34,"? 84,620.00",84,1,2,Converted,50,At Risk
BuildRight Group,Corporate,Thane,41,"? 2,84,286.00",62,2,0,Pitch_Ongoing,57,Compliant
BuildRight Systems,Retail,Borivali,27,"? 1,78,148.00",91,2,0,Pitch_Ongoing,63,Compliant
Urban Systems,Corporate,Malad,14,"? 70,559.00",62,1,0,Converted,37,Compliant
Indus Group,Retail,Borivali,9,"? 2,74,117.00",86,2,1,Converted,88,Compliant
ABC Solutions,Retail,Malad,40,"? 1,43,396.00",88,2,0,Pitch_Ongoing,78,Compliant
RetailOne Solutions,Corporate,Navi Mumbai,38,"? 2,42,714.00",91,0,0,Converted,46,Compliant
Urban Systems,Residential,Malad,35,"? 2,57,611.00",78,1,0,Converted,89,Compliant
SecureMax Group,Retail,Thane,14,"? 71,732.00",80,1,0,Cold_Lead,74,Compliant
Urban Enterprises,Retail,Navi Mumbai,23,"? 1,41,362.00",64,6,0,Pitch_Ongoing,61,Compliant
Indus Systems,Corporate,Thane,36,"? 2,11,426.00",77,1,0,Converted,73,Compliant
ABC Enterprises,Retail,Vashi,5,"? 63,843.00",87,0,0,Cold_Lead,94,Compliant
RetailOne Group,Retail,Andheri,9,"? 2,91,080.00",81,2,1,Pitch_Ongoing,37,Compliant
Indus Enterprises,Corporate,Malad,49,"? 1,64,065.00",80,3,1,Converted,72,Compliant
Urban Group,Corporate,Andheri,8,"? 1,21,726.00",65,6,1,Pitch_Ongoing,30,Compliant
RetailOne Infra,Construction,Andheri,20,"? 67,640.00",60,1,1,Pitch_Ongoing,80,Compliant
ABC Group,Residential,Malad,28,"? 1,02,528.00",64,0,0,Converted,53,Compliant
BuildRight Solutions,Residential,Navi Mumbai,20,"? 88,413.00",71,3,0,Converted,53,Compliant
BuildRight Infra,Retail,Vashi,6,"? 1,02,638.00",85,5,0,Converted,46,At Risk
Indus Solutions,Residential,Thane,32,"? 2,33,808.00",93,2,0,Pitch_Ongoing,34,Compliant
Indus Enterprises,Retail,Borivali,36,"? 2,88,964.00",73,2,0,Converted,49,Compliant
Urban Systems,Construction,Thane,31,"? 1,60,133.00",85,2,0,Cold_Lead,50,Compliant
ABC Group,Corporate,Borivali,24,"? 1,56,357.00",86,2,0,Pitch_Ongoing,87,Compliant
Urban Enterprises,Corporate,Thane,28,"? 2,49,938.00",68,3,0,Converted,60,Compliant
SecureMax Group,Corporate,Malad,16,"? 2,00,159.00",85,2,1,Pitch_Ongoing,40,At Risk
ABC Group,Residential,Vashi,39,"? 2,22,502.00",81,2,1,Converted,81,Compliant
Indus Corp,Construction,Borivali,37,"? 2,05,576.00",89,2,0,Pitch_Ongoing,44,Compliant
ABC Systems,Residential,Navi Mumbai,37,"? 1,88,186.00",76,4,0,Pitch_Ongoing,36,Compliant
SecureMax Group,Residential,Thane,47,"? 1,28,859.00",85,2,0,Converted,57,Compliant
Urban Group,Construction,Thane,41,"? 1,49,657.00",95,1,1,Converted,80,Compliant
SecureMax Corp,Construction,Borivali,16,"? 1,92,047.00",60,1,1,Converted,87,Compliant
ABC Group,Construction,Navi Mumbai,7,"? 61,023.00",67,0,0,Converted,34,Compliant
SecureMax Corp,Construction,Navi Mumbai,5,"? 71,447.00",94,1,1,Converted,34,Compliant
Indus Group,Corporate,Malad,37,"? 2,71,541.00",74,1,0,Converted,37,Compliant
RetailOne Enterprises,Industrial,Malad,44,"? 1,75,899.00",81,2,0,Cold_Lead,93,At Risk
Indus Corp,Industrial,Malad,14,"? 73,959.00",73,3,0,Converted,39,Compliant
ABC Solutions,Construction,Malad,47,"? 1,16,203.00",85,2,0,Converted,67,Compliant
BuildRight Solutions,Industrial,Malad,48,"? 1,69,156.00",87,0,0,Pitch_Ongoing,37,Compliant
BuildRight Systems,Industrial,Malad,33,"? 2,10,775.00",82,1,0,Converted,54,Compliant
Indus Corp,Construction,Vashi,17,"? 59,337.00",73,4,0,Cold_Lead,79,At Risk
SecureMax Solutions,Industrial,Navi Mumbai,16,"? 96,427.00",83,3,0,Pitch_Ongoing,78,Compliant
RetailOne Solutions,Residential,Malad,35,"? 1,11,529.00",61,1,1,Pitch_Ongoing,65,Compliant
